ICD-10-CM Codes,Description,Tags
C7242,Malignant neoplasm of left acoustic nerve,
C7250,Malignant neoplasm of unspecified cranial nerve,
C7259,Malignant neoplasm of other cranial nerves,
C729,"Malignant neoplasm of central nervous system, unspecified",
C73,Malignant neoplasm of thyroid gland,
C7400,Malignant neoplasm of cortex of unspecified adrenal gland,
C7401,Malignant neoplasm of cortex of right adrenal gland,
C7402,Malignant neoplasm of cortex of left adrenal gland,
C7410,Malignant neoplasm of medulla of unspecified adrenal gland,
C7411,Malignant neoplasm of medulla of right adrenal gland,
C7412,Malignant neoplasm of medulla of left adrenal gland,
C7490,Malignant neoplasm of unspecified part of unspecified adrenal gland,
C7491,Malignant neoplasm of unspecified part of right adrenal gland,
C7492,Malignant neoplasm of unspecified part of left adrenal gland,
C750,Malignant neoplasm of parathyroid gland,
C751,Malignant neoplasm of pituitary gland,
C752,Malignant neoplasm of craniopharyngeal duct,
C753,Malignant neoplasm of pineal gland,
C754,Malignant neoplasm of carotid body,
C755,Malignant neoplasm of aortic body and other paraganglia,
C758,"Malignant neoplasm with pluriglandular involvement, unspecified",
C759,"Malignant neoplasm of endocrine gland, unspecified",
C760,"Malignant neoplasm of head, face and neck",
C761,Malignant neoplasm of thorax,
C762,Malignant neoplasm of abdomen,
C763,Malignant neoplasm of pelvis,
C7640,Malignant neoplasm of unspecified upper limb,
C7641,Malignant neoplasm of right upper limb,
C7642,Malignant neoplasm of left upper limb,
C7650,Malignant neoplasm of unspecified lower limb,
C7651,Malignant neoplasm of right lower limb,
C7652,Malignant neoplasm of left lower limb,
C768,Malignant neoplasm of other specified ill-defined sites,
C770,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",
C771,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,
C772,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,
C773,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,
C774,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,
C775,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,
C778,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,
C779,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",
C7800,Secondary malignant neoplasm of unspecified lung,
C7801,Secondary malignant neoplasm of right lung,
C7802,Secondary malignant neoplasm of left lung,
C781,Secondary malignant neoplasm of mediastinum,
C782,Secondary malignant neoplasm of pleura,
C7830,Secondary malignant neoplasm of unspecified respiratory organ,
C7839,Secondary malignant neoplasm of other respiratory organs,
C784,Secondary malignant neoplasm of small intestine,
C785,Secondary malignant neoplasm of large intestine and rectum,
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,
C7880,Secondary malignant neoplasm of unspecified digestive organ,
C7889,Secondary malignant neoplasm of other digestive organs,
C7900,Secondary malignant neoplasm of unspecified kidney and renal pelvis,
C7901,Secondary malignant neoplasm of right kidney and renal pelvis,
C7902,Secondary malignant neoplasm of left kidney and renal pelvis,
C7910,Secondary malignant neoplasm of unspecified urinary organs,
C7911,Secondary malignant neoplasm of bladder,
C7919,Secondary malignant neoplasm of other urinary organs,
C792,Secondary malignant neoplasm of skin,
C7931,Secondary malignant neoplasm of brain,
C7932,Secondary malignant neoplasm of cerebral meninges,
C7940,Secondary malignant neoplasm of unspecified part of nervous system,
C7949,Secondary malignant neoplasm of other parts of nervous system,
C7951,Secondary malignant neoplasm of bone,
C7952,Secondary malignant neoplasm of bone marrow,
C7960,Secondary malignant neoplasm of unspecified ovary,
C7961,Secondary malignant neoplasm of right ovary,
C7962,Secondary malignant neoplasm of left ovary,
C7963,Secondary malignant neoplasm of bilateral ovaries,
C7970,Secondary malignant neoplasm of unspecified adrenal gland,
C7971,Secondary malignant neoplasm of right adrenal gland,
C7972,Secondary malignant neoplasm of left adrenal gland,
C7981,Secondary malignant neoplasm of breast,
C7982,Secondary malignant neoplasm of genital organs,
C7989,Secondary malignant neoplasm of other specified sites,
C799,Secondary malignant neoplasm of unspecified site,
C7A00,Malignant carcinoid tumor of unspecified site,
C7A010,Malignant carcinoid tumor of the duodenum,
C7A011,Malignant carcinoid tumor of the jejunum,
C7A012,Malignant carcinoid tumor of the ileum,
C7A019,"Malignant carcinoid tumor of the small intestine, unspecified portion",
C7A020,Malignant carcinoid tumor of the appendix,
C7A021,Malignant carcinoid tumor of the cecum,
C7A022,Malignant carcinoid tumor of the ascending colon,
C7A023,Malignant carcinoid tumor of the transverse colon,
C7A024,Malignant carcinoid tumor of the descending colon,
C7A025,Malignant carcinoid tumor of the sigmoid colon,
C7A026,Malignant carcinoid tumor of the rectum,
C7A029,"Malignant carcinoid tumor of the large intestine, unspecified portion",
C7A090,Malignant carcinoid tumor of the bronchus and lung,
C7A091,Malignant carcinoid tumor of the thymus,
C7A092,Malignant carcinoid tumor of the stomach,
C7A093,Malignant carcinoid tumor of the kidney,
C7A094,"Malignant carcinoid tumor of the foregut, unspecified",
C7A095,"Malignant carcinoid tumor of the midgut, unspecified",
C7A096,"Malignant carcinoid tumor of the hindgut, unspecified",
C7A098,Malignant carcinoid tumors of other sites,
C7A1,Malignant poorly differentiated neuroendocrine tumors,
C7A8,Other malignant neuroendocrine tumors,
C7B00,"Secondary carcinoid tumors, unspecified site",
C7B01,Secondary carcinoid tumors of distant lymph nodes,
C7B02,Secondary carcinoid tumors of liver,
C7B03,Secondary carcinoid tumors of bone,
C7B04,Secondary carcinoid tumors of peritoneum,
C7B09,Secondary carcinoid tumors of other sites,
C7B1,Secondary Merkel cell carcinoma,
C7B8,Other secondary neuroendocrine tumors,
C800,"Disseminated malignant neoplasm, unspecified",
C801,"Malignant (primary) neoplasm, unspecified",
C802,Malignant neoplasm associated with transplanted organ,
C8100,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",
C8101,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",
C8102,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",
C8103,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",
C8104,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",
C8105,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",
C8106,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",
C8107,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",
C8108,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",
C8109,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",
C8110,"Nodular sclerosis Hodgkin lymphoma, unspecified site",
C8111,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",
C8112,"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",
C8113,"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",
C8114,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",
C8115,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",
C8116,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",
C8117,"Nodular sclerosis Hodgkin lymphoma, spleen",
C8118,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",
C8119,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",
C8120,"Mixed cellularity Hodgkin lymphoma, unspecified site",
C8121,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",
C8122,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",
C8123,"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",
C8124,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",
C8125,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",
C8126,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",
C8127,"Mixed cellularity Hodgkin lymphoma, spleen",
C8128,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",
C8129,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",
C8130,"Lymphocyte depleted Hodgkin lymphoma, unspecified site",
C8131,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",
C8132,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",
C8133,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",
C8134,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",
C8135,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",
C8136,"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",
C8137,"Lymphocyte depleted Hodgkin lymphoma, spleen",
C8138,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",
C8139,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",
C8140,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",
C8141,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",
C8142,"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",
C8143,"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",
C8144,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",
C8145,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",
C8146,"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",
C8147,"Lymphocyte-rich Hodgkin lymphoma, spleen",
C8148,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",
C8149,"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",
C8170,"Other Hodgkin lymphoma, unspecified site",
C8171,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",
C8172,"Other Hodgkin lymphoma, intrathoracic lymph nodes",
C8173,"Other Hodgkin lymphoma, intra-abdominal lymph nodes",
C8174,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",
C8175,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",
C8176,"Other Hodgkin lymphoma, intrapelvic lymph nodes",
C8177,"Other Hodgkin lymphoma, spleen",
C8178,"Other Hodgkin lymphoma, lymph nodes of multiple sites",
C8179,"Other Hodgkin lymphoma, extranodal and solid organ sites",
C8190,"Hodgkin lymphoma, unspecified, unspecified site",
C8191,"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",
C8192,"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",
C8193,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",
C8194,"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",
C8195,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",
C8196,"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",
C8197,"Hodgkin lymphoma, unspecified, spleen",
C8198,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",
C8199,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",
C8200,"Follicular lymphoma grade I, unspecified site",
C8201,"Follicular lymphoma grade I, lymph nodes of head, face, and neck",
C8202,"Follicular lymphoma grade I, intrathoracic lymph nodes",
C8203,"Follicular lymphoma grade I, intra-abdominal lymph nodes",
C8204,"Follicular lymphoma grade I, lymph nodes of axilla and upper limb",
C8205,"Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb",
C8206,"Follicular lymphoma grade I, intrapelvic lymph nodes",
C8207,"Follicular lymphoma grade I, spleen",
C8208,"Follicular lymphoma grade I, lymph nodes of multiple sites",
C8209,"Follicular lymphoma grade I, extranodal and solid organ sites",
C8210,"Follicular lymphoma grade II, unspecified site",
C8211,"Follicular lymphoma grade II, lymph nodes of head, face, and neck",
C8212,"Follicular lymphoma grade II, intrathoracic lymph nodes",
C8213,"Follicular lymphoma grade II, intra-abdominal lymph nodes",
C8214,"Follicular lymphoma grade II, lymph nodes of axilla and upper limb",
C8215,"Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb",
C8216,"Follicular lymphoma grade II, intrapelvic lymph nodes",
C8217,"Follicular lymphoma grade II, spleen",
C8218,"Follicular lymphoma grade II, lymph nodes of multiple sites",
C8219,"Follicular lymphoma grade II, extranodal and solid organ sites",
C8220,"Follicular lymphoma grade III, unspecified, unspecified site",
C8221,"Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck",
C8222,"Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes",
C8223,"Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes",
C8224,"Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb",
C8225,"Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb",
C8226,"Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes",
C8227,"Follicular lymphoma grade III, unspecified, spleen",
C8228,"Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites",
C8229,"Follicular lymphoma grade III, unspecified, extranodal and solid organ sites",
C8230,"Follicular lymphoma grade IIIa, unspecified site",
C8231,"Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck",
C8232,"Follicular lymphoma grade IIIa, intrathoracic lymph nodes",
C8233,"Follicular lymphoma grade IIIa, intra-abdominal lymph nodes",
C8234,"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",
C8235,"Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb",
C8236,"Follicular lymphoma grade IIIa, intrapelvic lymph nodes",
C8237,"Follicular lymphoma grade IIIa, spleen",
C8238,"Follicular lymphoma grade IIIa, lymph nodes of multiple sites",
C8239,"Follicular lymphoma grade IIIa, extranodal and solid organ sites",
